HE 0 10.200 2.576 0.000 0.000 0.000 !(*)
AR 0 136.500 3.330 0.000 0.000 0.000 !
H 0 145.000 2.050 0.000 0.000 0.000 !
H2 1 38.000 2.920 0.000 0.790 280.000 !
C 0 71.400 3.298 0.000 0.000 0.000 !(*)
CH 1 80.000 2.750 0.000 0.000 0.000 !
CH2 1 144.000 3.800 0.000 0.000 0.000 !
CH2SING 1 144.000 3.800 0.000 0.000 0.000 !
CH3 1 144.000 3.800 0.000 0.000 0.000 !
CH4 2 141.400 3.746 0.000 2.600 13.000 !
O 0 80.000 2.750 0.000 0.000 0.000 !
OH 1 80.000 2.750 0.000 0.000 0.000 !
H2O 2 572.400 2.605 1.844 0.000 4.000 !
C2H 1 209.000 4.100 0.000 0.000 2.500 !
C2H2 1 209.000 4.100 0.000 0.000 2.500 !
C2H3 2 209.000 4.100 0.000 0.000 1.000 !(*)
C2H4 2 280.800 3.971 0.000 0.000 1.500 !
C2H5 2 252.300 4.302 0.000 0.000 1.500 !
C2H6 2 252.300 4.302 0.000 0.000 1.500 !
CO 1 98.100 3.650 0.000 1.950 1.800 !
HCO 2 498.000 3.590 0.000 0.000 0.000 !
CH2O 2 498.000 3.590 0.000 0.000 2.000 !
CH3O 2 417.000 3.690 1.700 0.000 2.000 !
CH2OH 2 417.000 3.690 1.700 0.000 2.000 !
CH3OH 2 481.800 3.626 0.000 0.000 1.000 !(SVE)
O2 1 107.400 3.458 0.000 1.600 3.800 !
HO2 2 107.400 3.458 0.000 0.000 1.000 !(*)
H2O2 2 107.400 3.458 0.000 0.000 3.800 ! 
C3H2 2 209.000 4.100 0.000 0.000 1.000 !(*)
C3H3 2 252.000 4.760 0.000 0.000 1.000 !(JAM)
AC3H4 2 252.000 4.760 0.000 0.000 1.000
PC3H4 2 252.000 4.760 0.000 0.000 1.000
SC3H5 2 260.000 4.850 0.000 0.000 1.000 !(JAM)
TC3H5 2 260.000 4.850 0.000 0.000 1.000 !(JAM)
AC3H5 2 260.000 4.850 0.000 0.000 1.000 !(JAM)
C3H6 2 266.800 4.982 0.000 0.000 1.000 !
nC3H7 2 266.800 4.982 0.000 0.000 1.000
iC3H7 2 266.800 4.982 0.000 0.000 1.000
C3H8 2 266.800 4.982 0.000 0.000 1.000 !
HCCO 2 150.000 2.500 0.000 0.000 1.000 !(*)
CH2CO 2 436.000 3.970 0.000 0.000 2.000 !
CH2CHO 2 436.000 3.970 0.000 0.000 2.000 !est.
CH3CO 2 436.000 3.970 0.000 0.000 2.000 !
CH3CHO 2 436.000 3.970 0.000 0.000 2.000 !
CO2 1 244.000 3.763 0.000 2.650 2.100 !
C2H4O 2 436.000 3.970 0.000 0.000 2.000 !guess
C2H5O 2 436.000 3.970 0.000 0.000 2.000 !est
C4H2 1 357.000 5.180 0.000 0.000 1.000 !
nC4H3 2 357.000 5.180 0.000 0.000 1.000 !guess
iC4H3 2 357.000 5.180 0.000 0.000 1.000 !TC from Wang
C4H4 2 357.000 5.180 0.000 0.000 1.000 !(JAM)
n-C4H5 2 357.000 5.180 0.000 0.000 1.000 !AB/97
i-C4H5 2 357.000 5.180 0.000 0.000 1.000 !AB/97
iiC4H6 2 357.000 5.176 0.000 0.000 1.000
iiiC4H6 2 357.000 5.176 0.000 0.000 1.000
C4H7 2 357.000 5.176 0.000 0.000 1.000
IC4H8 2 357.000 5.176 0.000 0.000 1.000
nC4H9 2 357.000 5.176 0.000 0.000 1.000 !
CH3CHOH 2 470.600 4.410 0.000 0.000 1.500 !From LLNL Marinov
CH2CHOCH2 2 357.000 5.176 0.000 0.000 1.000 !est
C2H4OH 2 470.600 4.410 0.000 0.000 1.500 !From LLNL Marinov
C3H6O 2 357.000 5.176 0.000 0.000 1.000
H2C4O 2 357.521 4.459 0.000 0.000 1.000 ! LJcjp
CH3CH2O 2 470.600 4.410 0.000 0.000 1.500 ! From LLNL 
C2H5OH 2 470.600 4.410 0.000 0.000 1.500 ! From LLNL
C2H3CO 2 429.000 4.999 2.9 0. 1. !est
C2H3CHO 2 429.000 4.999 2.9 0. 1. !PRW2/93
C2H3CH2O 2 429.000 4.999 2.9 0. 1. !PRW5/93
C5H2 1 386.805 4.852 0.000 0.000 1.000 ! LJcjp
C5H5 1 357.000 5.180 0.000 0.000 1.000 ! same as C5H3
l-C5H5 1 357.000 5.180 0.000 0.000 1.000 !
H2CCCCCH 2 389.341 5.055 0.000 0.000 1.000 ! LJcjp
HCCCHCCH 2 378.067 5.021 0.000 0.000 1.000 ! LJcjp
C5H6 2 354.700 5.13 0.000 0.000 1.000 !ab
CH2CHCH2CCH 2 357.000 5.176 0.000 0.000 1.000
CH2CHCHCCH2 2 357.000 5.176 0.000 0.000 1.000
C6H3 2 412.300 5.349 0.000 0.000 1.000 !ab/97
n-C6H5 2 412.300 5.349 0.000 0.000 1.000 !ab/97
i-C6H5 2 412.300 5.349 0.000 0.000 1.000 !ab/97
n-C6H7 2 412.300 5.349 0.000 0.000 1.000 !ab/97
i-C6H7 2 412.300 5.349 0.000 0.000 1.000 !ab/97
A1 2 412.300 5.349 0.000 0.000 1.000 !ab/97
A 2 412.300 5.349 0.000 0.000 1.000 !ab/97
l-C6H4 2 367.700 5.36 0.000 0.000 1.000 !ab/97
c-C6H4 2 367.700 5.36 0.000 0.000 1.000 !ab/97
C6H8 2 412.300 5.349 0.000 0.000 1.000 !ab/97
FC6H6 2 412.300 5.349 0.000 0.000 1.000 !ab/97
C6H9 2 324. 6.093 0.000 0.000 1.000 !ab/97
C6H2 1 357.000 5.180 0.000 0.000 1.000 !
l-C6H6 2 412.300 5.349 0.000 0.000 1.000 !ab/97
C4H5C2H 2 412.3 5.349 0.00 0.00 1.00 ! JAM(12/02)
CYC6H7 2 412.300 5.349 0.000 0.000 1.000 ! same as benzene
C6H11-13 2 412.300 5.349 0.000 0.000 1.00 ! same as benzene
C6H11-12 2 399.3 5.949 0.000 0.000 1.000 !est from C6H10
C6H11-14 2 399.3 5.949 0.000 0.000 1.000 !est from C6H10
C6H11-15 2 399.3 5.949 0.000 0.000 1.000 !est from C6H10
CYC6H9 2 324. 6.093 0.000 0.000 1.000 ! BSL60
CYC6H10 2 324. 6.093 0.000 0.000 1.000 ! BSL60
C6H10 2 399.3 5.949 0.000 0.000 1.000 !est
CYC6H11 2 324. 6.093 0.000 0.000 1.000 ! BSL60
C6H11 2 412.300 5.349 0.000 0.000 1.000 ! same as benzene
CYC6H12 2 324. 6.093 0.000 0.000 1.000 ! BSL60
CY13C6H8 2 412.300 5.349 0.000 0.000 1.000 ! same benzene
C5H4O 2 450.000 5.500 0.000 0.000 1.000 ! !
C5H4OH 2 450.000 5.500 0.000 0.000 1.000 ! !
C5H5O 2 450.000 5.500 0.000 0.000 1.000 ! !
hexene1 2 413. 5.909 0.000 0.000 1.000 ! BSL60 for nC6H14
hex1yl 2 413. 5.909 0.000 0.000 1.000 ! BSL60 for nC6H14
hex2yl 2 413. 5.909 0.000 0.000 1.000 ! BSL60 for nC6H14
hex3yl 2 413. 5.909 0.000 0.000 1.000 ! BSL60 for nC6H14
N 0 71.400 3.298 0.000 0.000 0.000 !(*)
N2 1 97.530 3.621 0.000 1.760 4.000 !
N2H2 2 71.400 3.798 0.000 0.000 1.000 !(*)
N2H3 2 200.000 3.900 0.000 0.000 1.000 !(*)
N2H4 2 205.000 4.230 0.000 4.260 1.500 !
N2O 1 232.400 3.828 0.000 0.000 1.000 !(*)
NCN 1 232.400 3.828 0.000 0.000 1.000 !(OIS)
NCO 1 232.400 3.828 0.000 0.000 1.000 !(OIS)
NH 1 80.000 2.650 0.000 0.000 4.000 !
NH2 2 80.000 2.650 0.000 2.260 4.000 !
NH3 2 481.000 2.920 1.470 0.000 10.000 !
NNH 2 71.400 3.798 0.000 0.000 1.000 !(*)
NO 1 97.530 3.621 0.000 1.760 4.000 !
NCNO 2 232.400 3.828 0.000 0.000 1.000 !(OIS)
NO2 2 200.000 3.500 0.000 0.000 1.000 !(*)
NO3 2 200.000 3.500 0.000 0.000 1.000 !
HCN 1 569.000 3.630 0.000 0.000 1.000 !(OIS)
CN 1 75.000 3.856 0.000 0.000 1.000 !(OIS)
H2CN 1 569.000 3.630 0.000 0.000 1.000 !(os/jm)
HCNO 2 232.400 3.828 0.000 0.000 1.000 !(JAM)
HOCN 2 232.400 3.828 0.000 0.000 1.000 !(JAM)
HNCO 2 232.400 3.828 0.000 0.000 1.000 !(OIS)
HOCO 2 232.400 3.828 0.000 0.000 1.000 !
HONO 2 232.400 3.828 0.000 0.000 1.000 !
HNO3 2 232.400 3.828 0.000 0.000 1.000 !
HNO 2 116.700 3.492 0.000 0.000 1.000 !(*) 
HNNO 2 232.400 3.828 0.000 0.000 1.000 !(*)
cyMorph 2 412.300 5.349 0.000 0.000 1.000 !same as benzene
cyOrthoMorphyl 2 412.300 5.349 0.000 0.000 1.000 !same as Benzenyl
cyMetaMorphyl 2 412.300 5.349 0.000 0.000 1.000 !same as Benzenyl
cyParaMorphyl 2 412.300 5.349 0.000 0.000 1.000 !same as Benzenyl
NHCH2CH2OCHCH2 2 399.3 5.949 0.000 0.000 1.000 !same as C6H10
CH2CH2NHCH2CHO 2 399.3 5.949 0.000 0.000 1.000 !same as C6H10
OCH2CH2NHCHCH2 2 399.3 5.949 0.000 0.000 1.000 !same as C6H10
CH2CH2OCH2CHNH 2 399.3 5.949 0.000 0.000 1.000 !same as C6H10
CH2OCH2CH2NCH2 2 399.3 5.949 0.000 0.000 1.000 !same as C6H10
CH2OCHCH2 2 357.000 5.176 0.000 0.000 1.000 !same CH2COCH3
NHCH2CHO 2 429.000 4.999 2.9 0. 1. !same as CH3CHCHO
CH2NHCHCH2 2 357.000 5.180 0.000 0.000 1.000 !CH2CHCHCH
OCH2CHNH 2 429.000 4.999 2.9 0. 1. !same as C2H3CH2O
CH2CH2NCH2 2 357.000 5.176 0.000 0.000 1.000 !same as C4H7
CHNH 2 569.000 3.630 0.000 0.000 1.000 !same as HCN
CH2NH 2 569.000 3.630 0.000 0.000 1.000 !same as CH2N
CH2CHOCH2CHNH 2 399.3 5.949 0.000 0.000 1.000 !same as C6H10
CH2CHNH 2 436.000 3.970 0.000 0.000 2.000 !same as CH2CHO
